name,intelligence,strength,speed,durability,power,combat,full-name,aliases,image
Kilowog,81,90,53,42,100,80,,"Kilo WogGreen Lantern 674.1Dark LanternThe Green Lantern drill sergeant""Poozer""Lantern",https://www.superherodb.com/pictures2/portraits/10/100/1428.jpg
King Kong,56,100,71,75,47,75,King Kong,the 8th Wonder of the WorldKing of Skull Island,https://www.superherodb.com/pictures2/portraits/10/100/10591.jpg
King Shark,50,88,50,90,86,40,Nanaue,-,https://www.superherodb.com/pictures2/portraits/10/100/10512.jpg
Kingpin,75,18,25,40,13,70,Wilson Grant Fisk,The Brain WasherHarold HowardWilbur,https://www.superherodb.com/pictures2/portraits/10/100/623.jpg
Klaw,63,38,33,100,62,60,Ulysses Klaw,-,https://www.superherodb.com/pictures2/portraits/10/100/1539.jpg
Kool-Aid Man,25,18,8,10,9,14,,Pitcher Man,https://www.superherodb.com/pictures2/portraits/10/100/1343.jpg
Kraven II,50,34,23,28,43,85,Alyosha Kravinoff,-,https://www.superherodb.com/pictures2/portraits/10/100/1034.jpg
Kraven the Hunter,63,32,35,42,25,85,Sergei Kravinoff,Kraven the HunterWorld's Greatest Hunterthe Grim Hunter,https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg
Krypto,9,80,100,90,82,40,Krypto the Superdog,-,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg
Kyle Rayner,69,90,50,60,100,60,Kyle Rayner,IonKyle VasquezParallaxTorch BearerHonor GuardThe Last Green Lantern,https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg
Kylo Ren,56,44,33,30,100,70,Ben Solo,-,https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg
Lady Bullseye,null,63,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1170.jpg
Lady Deathstrike,63,28,42,85,48,90,Yuriko Oyama,Ana Cortes,https://www.superherodb.com/pictures2/portraits/10/100/810.jpg
Leader,100,10,12,14,59,42,Samuel Sterns,-,https://www.superherodb.com/pictures2/portraits/10/100/885.jpg
Leech,25,5,12,14,62,14,,-,https://www.superherodb.com/pictures2/portraits/10/100/834.jpg
Legion,50,100,42,30,100,75,David Haller,Jack WayneCyndiJemail KaramiDaniel Lucas HallerDaniel HallerRodneyIanLucasFanyaBorisZacharySylvesterGod-Mutant,https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg
Leonardo,75,16,50,65,59,80,Leonardo,LeoGhost of the JungleSplinter Jr.,https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg
Lex Luthor,100,53,25,65,68,70,Lex Luthor,-,https://www.superherodb.com/pictures2/portraits/10/100/727.jpg
Light Lass,38,10,35,28,67,42,Ayla Ranzz,-,https://www.superherodb.com/pictures2/portraits/10/100/1178.jpg
Lightning Lad,38,10,23,28,60,42,Garth Ranzz,Lightning BoyLive Wire,https://www.superherodb.com/pictures2/portraits/10/100/1177.jpg
Lightning Lord,44,10,23,42,66,42,Mekt Ranzz,-,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg
Living Brain,75,53,35,56,31,28,,-,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg
Living Tribunal,100,100,100,100,100,30,,Living TrinityMagistrateHigh Judge of The MultiverseSir,https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg
Liz Sherman,null,null,null,null,null,null,Elizabeth Anne Sherman,-,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg
Lizard,50,51,27,70,63,56,Curtis Connors,-,https://www.superherodb.com/pictures2/portraits/10/100/11.jpg
Lobo,94,100,54,100,100,85,Lobo,The Main ManThe 'BoMaster FragMister MachetePopebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It,https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg
Loki,88,63,46,85,100,60,Loki Laufeyson,God of MischiefGem-KeeperWalter LawsonLesterLoren OlsenTyfonFather WilliamsWillieTso Zhung; has also impersonated hundreds of others.,https://www.superherodb.com/pictures2/portraits/10/100/928.jpg
Longshot,50,10,27,10,71,70,,The Lost MessiahThe Lucky One,https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg
Luke Cage,50,63,29,95,44,70,Luke Cage,Carl LucasPower ManMark LucasHero for HireAce of Spades,https://www.superherodb.com/pictures2/portraits/10/100/269.jpg
Luke Campbell,null,null,null,null,null,null,Luke Campbell,-,https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg
Luke Skywalker,69,38,42,25,100,100,Luke Skywalker,General SkywalkerMaster LukeJedi,https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg
Luna,38,6,83,14,53,14,Luna Maximoff,-,https://www.superherodb.com/pictures2/portraits/10/100/933.jpg
Lyja,null,null,null,null,null,null,Lyja,Alicia MastersLyja The LazerfistLaura Green,https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg
Mach-IV,75,36,60,84,60,56,Abner Jenkins,BeetleMACH-IMACH-IIMACH-IIIMatthew,https://www.superherodb.com/pictures2/portraits/10/100/370.jpg
Machine Man,63,32,35,84,51,64,"X-51, Aaron Stack",Sir McHineryMister Machine.Machine Man,https://www.superherodb.com/pictures2/portraits/10/100/90.jpg
Magneto,88,80,27,84,91,80,Erik Magnus Lensherr,The CreatorErik Magnus LehnsherrMichael XavierWhite PilgrimErik the RedThe Master of Magnetism,https://www.superherodb.com/pictures2/portraits/10/100/12.jpg
Magog,50,48,23,64,66,72,David Reid,-,https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg
Magus,88,100,70,99,100,74,,Warlock's Father,https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg
Man of Miracles,100,100,100,100,100,100,,Mother Of Existence,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg
Man-Bat,38,18,50,70,33,30,Robert Kirkland Langstrom,Kirk Langstrom,https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
Man-Thing,50,32,8,100,100,40,Dr. Theodore Sallis,the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap,https://www.superherodb.com/pictures2/portraits/10/100/382.jpg
Man-Wolf,63,44,35,42,45,70,John Jameson,StargodVanwolfSkywolf,https://www.superherodb.com/pictures2/portraits/10/100/91.jpg
Mandarin,100,28,23,28,100,95,Khan,Tem BorjiginGene KahnMaster KhanZhang TongMandy,https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
Mantis,63,8,33,80,100,80,,Celestial MadonnaWillowLoreleiMandy CelestineThis One (in referring to herself),https://www.superherodb.com/pictures2/portraits/10/100/384.jpg
Martian Manhunter,100,95,92,100,100,85,J'onn J'onzz,ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze WraithBloodwyndmany others,https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
Marvel Girl,63,85,47,42,100,80,Rachel Anne Summers,Rachel Greyformerly PhoenixMother AskaniBright LadyAly'zrn Summerset,https://www.superherodb.com/pictures2/portraits/10/100/94.jpg
Master Brood,null,null,null,null,null,null,Currently Colin Wood,Brood,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg
Master Chief,75,73,35,80,69,100,John-117,Blue 1Sierra 117Spartan 117Demon,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
Match,75,95,83,85,100,70,Kent Connor,SuperboySuperman,https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg
Matt Parkman,63,10,12,14,59,56,Matthew Parkman,-,https://www.superherodb.com/pictures2/portraits/10/100/948.jpg
Maverick,63,10,12,42,60,85,Christopher Bradley,ChrisBolt,https://www.superherodb.com/pictures2/portraits/10/100/257.jpg
Maxima,75,90,35,56,81,75,,Queen MaximaEmpress of the Almeracian Empire,https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg
Maya Herrera,50,10,12,14,60,14,Maya Herrera,-,https://www.superherodb.com/pictures2/portraits/10/100/944.jpg
Medusa,75,34,35,70,37,56,Medusalith Amaquelin Boltagon,Madam MedusaQueen Medusa,https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
Meltdown,38,10,12,42,62,64,Tabitha Smith,Boom-BoomBoomerMeltdownMutate #35Time BombNancy Forrester,https://www.superherodb.com/pictures2/portraits/10/100/258.jpg
Mephisto,88,85,35,95,100,42,,Satan; MephistophelesLord of EvilPrince of DevilsPrince of LiesLord of the Lower DepthsSatanBeelzebubthe DevilMayaLuciferNick Scratchthe FriendLegionnumerous others; impersonated Don Blakemany others,https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg
Mera,56,62,79,60,92,80,Mera,Queen of AtlantisAquawomanAquagirlWater-Woman,https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
Metallo,75,53,23,95,86,64,John Corben,-,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
Metamorpho,null,82,null,null,null,null,Rex Mason,The Element Man,https://www.superherodb.com/pictures2/portraits/10/100/738.jpg
Meteorite,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg
Metron,88,10,47,56,100,28,Metron,-,https://www.superherodb.com/pictures2/portraits/10/100/841.jpg
Micah Sanders,63,8,12,14,57,14,Micah Sanders,MicahSanders500,https://www.superherodb.com/pictures2/portraits/10/100/951.jpg
Michelangelo,63,14,50,65,59,75,,MikeMikeyMikesterMichaelangelo,https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg
Micro Lad,38,28,27,28,44,32,Gim Allon,Colossal Boy (mostly known as Colossal Boyalthough he dislikes that name himself),https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg
Mimic,63,67,47,56,79,42,Calvin Montgomery Rankin,CalWolverineCalvin Rankin,https://www.superherodb.com/pictures2/portraits/10/100/97.jpg
Minna Murray,null,null,null,null,null,null,Wilhelmina Harker,-,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg
Misfit,63,32,23,80,91,42,Charlotte Gage-Radcliffe,Batgirl,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg
Miss Martian,63,85,58,100,100,45,M'gann M'orzz,Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias)Star-Spangled Kid,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg
Mister Fantastic,100,10,18,70,33,64,Reed Richards,Mr Fantastic,https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
Mister Freeze,75,32,12,70,37,28,Victor Fries,Mister ZeroDoctor ZeroDoctor Schimmell,https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
Mister Knife,75,10,17,30,13,65,J'son,Jason of SpartaxJason of SpartaStar-LordMr Knife,https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
Mister Mxyzptlk,100,85,100,100,100,50,Mr. Mxyzptlk,-,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
Mister Sinister,100,48,46,90,100,50,Nathaniel Essex,SinisterRobert WindsorArnold BocklinMike MilburyApocalypseSteven ShaffranEdmond AtkinsonNateAdministrator PearsonNosferatuNathan MilburyPale Man,https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
Mister Zsasz,88,22,33,28,18,85,Victor Zsasz,Mr Zsasz,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
Mockingbird,75,31,38,20,48,95,Barbara Morse,Barbara Morse-BartonRoberta MorseAgent 19HuntressBobbi Van Dyne; once posed as Shooting Star,https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
MODOK,100,18,25,25,79,15,George Tarleton,M.O.D.O.K.Mental Organism Designed Only for Killing,https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
Mogo,null,null,null,null,null,null,Mogo,-,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg
Mohinder Suresh,null,null,null,null,null,null,Mohinder Suresh,-,https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg
Moloch,null,null,null,null,null,null,Edgar William Jacobi,William Edgar BrightMoloch the Mystic,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg
Molten Man,50,73,23,84,53,56,Mark Raxton,-,https://www.superherodb.com/pictures2/portraits/10/100/411.jpg
Monarch,null,100,null,null,null,null,Nathaniel Christopher Adam,MonarchAllen AdamCameron ScottCaptain Atom,https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg
Monica Dawson,50,10,35,14,48,90,Monica Dawson,-,https://www.superherodb.com/pictures2/portraits/10/100/942.jpg
Moon Knight,50,36,23,42,28,75,Marc Spector,Jake LockleySteven GrantYitzak TopolFist of KhonshuCrescent CrusaderLunar Legionnaire,https://www.superherodb.com/pictures2/portraits/10/100/415.jpg
Moonstone,56,67,47,52,74,80,Karla Sofen,Meteorite Kate Sorenson,https://www.superherodb.com/pictures2/portraits/10/100/100.jpg
Morlun,63,60,35,42,74,56,Morlun,-,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg
Morph,null,40,null,null,null,null,Kevin Sydney,-,https://www.superherodb.com/pictures2/portraits/10/100/102.jpg
Moses Magnum,75,28,12,42,55,56,Moses Magnum,"Magnum Force,",https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg
Mr Immortal,50,10,8,100,69,30,Craig Hollis,-,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg
Mr Incredible,50,83,33,95,29,40,Robert Parr,Mr. IThe Hero's HeroBob Parr,https://www.superherodb.com/pictures2/portraits/10/100/869.jpg
Ms Marvel II,38,63,23,84,11,56,Sharon Ventura,She-Thing,https://www.superherodb.com/pictures2/portraits/10/100/897.jpg
Multiple Man,63,11,23,70,28,62,James Arthur,-,https://www.superherodb.com/pictures2/portraits/10/100/104.jpg
Mysterio,81,10,17,40,82,70,Quentin Beck,Nicholas MacabesRudolph HinesGerdesDoctor Ludwig Rinehart,https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg
Mystique,75,12,23,64,64,74,Raven Darkholme,Mallory Brickman,https://www.superherodb.com/pictures2/portraits/10/100/817.jpg
Namor,69,95,58,70,73,85,Namor McKenzie,"Imperius RexDr. G.W. FaltonSub-Mariner""Subby""Namor the FirstAvenging SonOld ManRexJoe PierreLord of the Seven Seasthe Scion of the DeepPhoenix",https://www.superherodb.com/pictures2/portraits/10/100/137.jpg
Namor,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg
Namora,50,85,42,42,48,64,Aquaria Nautica Neptunia,Sub-MarinerAvenging Daughterthe Sea Beauty,https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg
Namorita,50,72,47,70,37,70,Namorita Prentiss,KymaeraHard,https://www.superherodb.com/pictures2/portraits/10/100/106.jpg
Naruto Uzumaki,50,80,32,80,100,100,,-,https://www.superherodb.com/pictures2/portraits/10/100/1540.jpg
Nathan Petrelli,null,null,null,null,null,null,Nathan Petrelli,-,https://www.superherodb.com/pictures2/portraits/10/100/949.jpg
Nebula,63,52,13,50,42,60,,-,https://www.superherodb.com/pictures2/portraits/10/100/10632.jpg
Negasonic Teenage Warhead,50,7,8,10,45,35,Ellie Phimister,Warhead,https://www.superherodb.com/pictures2/portraits/10/100/10556.jpg
Nick Fury,75,11,23,42,25,100,Nicholas Joseph Fury,DoyleThe Mystery in the MaskPatchScorpio,https://www.superherodb.com/pictures2/portraits/10/100/326.jpg
Nightcrawler,50,10,47,14,76,80,Kurt Wagner,-,https://www.superherodb.com/pictures2/portraits/10/100/107.jpg
Nightwing,88,11,33,28,36,100,Dick Grayson,Freddie DinardoFreddy LoydThe TargetRenegadeThe Worlds Greatest AcrobatThe Aerial AvengerPixie BootsThe Boy / Teen WonderThe Worlds Greatest DetectiveThe Caped Crusader,https://www.superherodb.com/pictures2/portraits/10/100/851.jpg
Niki Sanders,63,52,35,28,37,56,Nicole Sanders,JessicaGina,https://www.superherodb.com/pictures2/portraits/10/100/952.jpg
Nina Theroux,63,5,8,10,68,20,,-,https://www.superherodb.com/pictures2/portraits/10/100/1529.jpg
Nite Owl II,null,45,null,null,null,null,Daniel Dreiberg,-,https://www.superherodb.com/pictures2/portraits/10/100/1059.jpg
Northstar,50,18,83,56,65,70,Jean-Paul Beaubier,Jean-Paul Martin,https://www.superherodb.com/pictures2/portraits/10/100/1287.jpg
Nova,100,85,75,100,100,80,Richard Rider,RichBucket-HeadHuman RocketKid NovaNova PrimeQuasar,https://www.superherodb.com/pictures2/portraits/10/100/109.jpg
Nova,63,60,100,100,100,35,Frankie Raye,Frances HyattHuman Torch,https://www.superherodb.com/pictures2/portraits/10/100/10313.jpg
Odin,100,83,67,95,100,90,Odin Borson,"All-Father,Sky-FatherAtum-ReWodenWotanOdenOrrinHarbardKing of Asgard",https://www.superherodb.com/pictures2/portraits/10/100/10388.jpg
Offspring,50,10,35,99,100,56,Luke O'Brian,Ernie McDunnaghPlastic Lad,https://www.superherodb.com/pictures2/portraits/10/100/1298.jpg
Omega Red,null,61,null,null,null,null,Arkady Gregorivich,Arkady RossovichVasyliev Arkady,https://www.superherodb.com/pictures2/portraits/10/100/208.jpg
Omniscient,null,null,null,null,null,null,Omniscient is the closest English word that compares to his alien tongue.,-,https://www.superherodb.com/pictures2/portraits/10/100/1003.jpg
One Punch Man,38,100,83,95,55,50,Saitama,Caped Baldy,https://www.superherodb.com/pictures2/portraits/10/100/10522.jpg
One-Above-All,100,100,100,100,100,100,,One Above All,https://www.superherodb.com/pictures2/portraits/10/100/10374.jpg
Onslaught,88,100,33,100,100,55,Onslaught,Charlie SilusSir David The GreatCharles XavierMagnetoThat Which Shall Survivethe EntityDark Xavier,https://www.superherodb.com/pictures2/portraits/10/100/13.jpg
Oracle,75,11,23,28,19,76,Barbara Gordon,BatgirlBabs; Barbie Doll; O; The Masked Maiden; the Dark Knight Damsel,https://www.superherodb.com/pictures2/portraits/10/100/749.jpg
Osiris,75,85,60,95,65,42,Amon Tomaz,-,https://www.superherodb.com/pictures2/portraits/10/100/1165.jpg
Overtkill,null,null,null,null,null,null,Nicholas Rocca,OvertWar,https://www.superherodb.com/pictures2/portraits/10/100/866.jpg
Ozymandias,100,18,33,20,49,95,Adrian Veidt,The World's Smartest Man,https://www.superherodb.com/pictures2/portraits/10/100/1063.jpg
Parademon,9,28,17,50,53,25,,-,https://www.superherodb.com/pictures2/portraits/10/100/10806.jpg
Paul Blart,8,11,21,50,7,5,Paul Blart,Mall Cop,https://www.superherodb.com/pictures2/portraits/10/100/10479.jpg
Penance,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/929.jpg
Penance I,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/930.jpg
Penance II,null,20,null,null,null,null,Robert Baldwin,Formerly SpeedballMasked Marvel,https://www.superherodb.com/pictures2/portraits/10/100/900.jpg
Penguin,75,10,12,28,30,45,Oswald Chesterfield Cobblepot,-,https://www.superherodb.com/pictures2/portraits/10/100/753.jpg
Phantom,null,48,null,null,null,null,Christopher Walker,Mr Walker; Christopher Standish,https://www.superherodb.com/pictures2/portraits/10/100/889.jpg
Phantom Girl,38,10,23,28,53,42,Tinya Wazzo,-,https://www.superherodb.com/pictures2/portraits/10/100/1184.jpg
Phoenix,100,100,83,100,100,80,Jean Grey,Redd DayspringMarvel Girl,https://www.superherodb.com/pictures2/portraits/10/100/828.jpg
Plantman,63,60,25,55,61,25,Samuel Smithers,Blackheath,https://www.superherodb.com/pictures2/portraits/10/100/10487.jpg
Plastic Lad,null,null,null,null,null,null,Luke O'Brian,Offspring,https://www.superherodb.com/pictures2/portraits/10/100/1299.jpg
Plastic Man,50,63,23,100,100,56,Patrick O'Brian,-,https://www.superherodb.com/pictures2/portraits/10/100/756.jpg
Plastique,50,10,23,28,60,42,Bette Sans Souci,-,https://www.superherodb.com/pictures2/portraits/10/100/1176.jpg
Poison Ivy,81,14,21,40,100,40,Pamela Isley,-,https://www.superherodb.com/pictures2/portraits/10/100/757.jpg
Polaris,63,73,42,50,100,45,Lorna Dane,Pestilenceformerly MalicePolarityMagnetrixM-2Magneto the Second,https://www.superherodb.com/pictures2/portraits/10/100/1046.jpg
Power Girl,94,100,100,100,100,75,Kara Zor-L,Karen StarrNightwing,https://www.superherodb.com/pictures2/portraits/10/100/758.jpg
Power Man,null,82,null,null,null,null,Luke Cage,-,https://www.superherodb.com/pictures2/portraits/10/100/1016.jpg
Predator,63,30,25,85,100,90,Yautja,HuntersYautjaHish,https://www.superherodb.com/pictures2/portraits/10/100/10448.jpg
Professor X,100,8,12,14,100,32,Charles Francis Xavier,ProfDr. XProfessor Xavierformerly Prisoner M-13,https://www.superherodb.com/pictures2/portraits/10/100/113.jpg
Professor Zoom,94,10,100,20,83,20,Eobard Thawne,Reverse FlashBlack FlashAdrian ZoomMister Zyx,https://www.superherodb.com/pictures2/portraits/10/100/766.jpg
Psylocke,63,33,25,40,100,90,Elizabeth Braddock,BetsyCaptain BritainLady Mandarin,https://www.superherodb.com/pictures2/portraits/10/100/114.jpg
Punisher,69,16,21,45,42,100,Frank Castle,Big NothingMajor BatemanTed BishopCliff CalladorCastigoChalonerFred D'AmatoEastmanCharles FortFrank LoomisMcRookMelchiorJoe RaineyFrank RookRichard RookTony Knowlen RossFrancis StrongholdJohnny TowerDmitri VelikoffFra,https://www.superherodb.com/pictures2/portraits/10/100/112.jpg
Purple Man,56,10,8,30,92,10,Zebediah Killgrave,Kilgrave,https://www.superherodb.com/pictures2/portraits/10/100/10451.jpg
Pyro,38,10,12,14,54,28,St. John Allerdyce,-,https://www.superherodb.com/pictures2/portraits/10/100/853.jpg
Q,100,12,17,100,100,40,Q,Q Continuum,https://www.superherodb.com/pictures2/portraits/10/100/10578.jpg
Quantum,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1157.jpg
Question,81,14,27,35,20,80,Charles Victor Szasz,Vic Sage,https://www.superherodb.com/pictures2/portraits/10/100/760.jpg
Quicksilver,63,28,100,60,81,56,Pietro Django Maximoff,Pietro FrankGypsy DaveyMateo Maximoff,https://www.superherodb.com/pictures2/portraits/10/100/115.jpg
Quill,38,10,12,14,23,14,Maxwell Jordan,Max,https://www.superherodb.com/pictures2/portraits/10/100/830.jpg
Ra's Al Ghul,100,28,32,42,27,100,Ra's Al Ghul,Demon's Head,https://www.superherodb.com/pictures2/portraits/10/100/761.jpg
Rachel Pirzad,63,4,8,10,52,10,,-,https://www.superherodb.com/pictures2/portraits/10/100/1530.jpg
Rambo,63,14,25,30,30,100,John Rambo,RavenLone Wolf,https://www.superherodb.com/pictures2/portraits/10/100/10475.jpg
Raphael,63,17,50,65,59,80,,-,https://www.superherodb.com/pictures2/portraits/10/100/10328.jpg
Raven,50,10,29,70,84,40,Rachel Roth,PrideDark Raven,https://www.superherodb.com/pictures2/portraits/10/100/764.jpg
Ray,50,10,92,100,100,20,Ray Terrill,-,https://www.superherodb.com/pictures2/portraits/10/100/10204.jpg
Razor-Fist II,null,null,null,null,null,null,Douglas Scott,Razorfist,https://www.superherodb.com/pictures2/portraits/10/100/935.jpg
Red Arrow,63,16,25,20,23,80,Roy Harper,ArsenalSpeedy,https://www.superherodb.com/pictures2/portraits/10/100/1013.jpg
Red Hood,75,12,23,28,35,95,Jason Todd,RobinRed RobinBatmanNightwingArkham Knight,https://www.superherodb.com/pictures2/portraits/10/100/932.jpg
Red Hulk,50,100,47,85,82,75,Thaddeus E. Ross,RulkHulkThunderboltGeneral Ross,https://www.superherodb.com/pictures2/portraits/10/100/1342.jpg
Red Mist,25,10,23,14,20,56,Chris Genovese,The Red Mist,https://www.superherodb.com/pictures2/portraits/10/100/1337.jpg
Red Robin,81,11,27,32,29,80,Tim Drake,Alvin DraperBatmanRobinTimothy WayneTime Drake,https://www.superherodb.com/pictures2/portraits/10/100/10009.jpg
Red Skull,75,10,12,14,19,80,Johann Shmidt,Dell RuskBettman P. Lylesthe Agent of a Thousand FacesThe ManCyrus FentonTeacherTod MarchJohn SmithAleksander Lukin.,https://www.superherodb.com/pictures2/portraits/10/100/1392.jpg
Red Tornado,75,38,67,60,100,40,John Smith,"UlthoonTornado Tyrant of RannTornado ChampionTornado Man Dreaming""Reddy""",https://www.superherodb.com/pictures2/portraits/10/100/1149.jpg
Redeemer II,null,null,null,null,null,null,Phil Timper,-,https://www.superherodb.com/pictures2/portraits/10/100/1081.jpg
Redeemer III,null,null,null,null,null,null,Eddie Frank,-,https://www.superherodb.com/pictures2/portraits/10/100/1092.jpg
Renata Soliz,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1151.jpg
Rey,63,8,21,10,87,35,,-,https://www.superherodb.com/pictures2/portraits/10/100/10561.jpg
Rhino,25,80,43,90,36,85,Aleksei Mikhailovich Sytsevich,Alex O'HirnMecha-Rhino,https://www.superherodb.com/pictures2/portraits/10/100/15.jpg
Rick Flag,88,11,23,28,19,95,Richard Rogers Flag,-,https://www.superherodb.com/pictures2/portraits/10/100/1352.jpg
Riddler,100,10,12,14,10,14,Edward Nigma,E. NigmaEdward E. Nigma,https://www.superherodb.com/pictures2/portraits/10/100/768.jpg
Rip Hunter,100,8,8,10,100,25,Richard Hunter,Time LordTime MasterBoppyDr. HunterMrHunterCarter,https://www.superherodb.com/pictures2/portraits/10/100/10543.jpg
Ripcord,null,null,null,null,null,null,Miranda Leevald,-,https://www.superherodb.com/pictures2/portraits/10/100/1291.jpg
Robin,88,11,27,28,32,85,Dick Grayson,RenegadeThe TargetFreddie Dinardo,https://www.superherodb.com/pictures2/portraits/10/100/850.jpg
Robin II,75,11,27,28,28,85,Jason Todd,Red HoodRed RobinBatmanNightwingWingmanJaybirdArkham Knight,https://www.superherodb.com/pictures2/portraits/10/100/849.jpg
Robin III,81,11,27,28,29,85,Tim Drake,Alvin DraperBatmanRobinTimothy Wayne,https://www.superherodb.com/pictures2/portraits/10/100/769.jpg
Robin V,69,8,33,16,29,65,Damian Wayne,BatmanDamian al GhulIbn al Xu'ffaschRedbird,https://www.superherodb.com/pictures2/portraits/10/100/1473.jpg
Robin VI,50,8,25,20,17,70,Carrie Kelley,-,https://www.superherodb.com/pictures2/portraits/10/100/10394.jpg
Rocket Raccoon,50,5,23,28,28,64,Rocket Raccoon,Sharpshooting Space RacoonRocky RaccoonRanger Rocket,https://www.superherodb.com/pictures2/portraits/10/100/10010.jpg
Rogue,75,10,12,28,80,80,Anna Marie,Anna RavenDoctor KelloggMutate 9602Irene AdlerMiss Smith,https://www.superherodb.com/pictures2/portraits/10/100/831.jpg
Ronin,56,12,21,10,13,80,Clint Barton,Formerly Hawkeyethe Marksman'Br'er Hawkeye'Superhuman Cellblock Prisoner 334556LongbowGoliathFather TimeLouisRobin Hoodthe Hawkeye KidGolden Archer'Purple Man'; impersonated Constrictor & Dreadknight,https://www.superherodb.com/pictures2/portraits/10/100/1202.jpg
Rorschach,75,10,29,20,23,80,Walter Joseph Kovacs,-,https://www.superherodb.com/pictures2/portraits/10/100/771.jpg
Sabretooth,56,48,38,90,50,100,Victor Creed,SlasherEl Tigre,https://www.superherodb.com/pictures2/portraits/10/100/17.jpg
Sage,75,10,12,14,28,56,Tessa,-,https://www.superherodb.com/pictures2/portraits/10/100/117.jpg
Sandman,44,75,46,90,100,60,William Baker,Flint MarkoSylvester MannQuarryman,https://www.superherodb.com/pictures2/portraits/10/100/621.jpg
Sasquatch,75,80,23,56,15,42,Walter Langkowski,BoxWanda Langkowski,https://www.superherodb.com/pictures2/portraits/10/100/863.jpg
Sauron,88,85,33,100,100,70,Sauron,AnnatarGorthaur the CruelSauron the DarkThe NecromancerDark Lord of MordorLord of the RingsThe Great Eye,https://www.superherodb.com/pictures2/portraits/10/100/10849.jpg
Savage Dragon,63,70,54,85,66,72,Kurr,-,https://www.superherodb.com/pictures2/portraits/10/100/1117.jpg
